en,de,description,file,hash
"A new message via contact form","Eine neue Nachricht über das Kontaktformular","set default subject string",site/modules/FrontendContact/ContactForm.php,4758f7b6eca42e3f45ef7fde662fc3a0
IP,=,,site/modules/FrontendContact/ContactForm.php,a12a3079e14ced46e69ba52b8a90b21a
en,de,description,file,hash
"The value of this user field will be used as the form value, if the user is logged in.","Der Wert dieses Benutzerfeldes wird als Formularwert verwendet, wenn der Benutzer eingeloggt ist.",,site/modules/FrontendContact/FrontendContact.module,2c56b06102bdeecd02cb9c0eb60ad68e
"Mark this field as mandatory","Diese Feld als Pflichtfeld markieren",,site/modules/FrontendContact/FrontendContact.module,d88657aa263af3eec8ebd27063df0826
"Add this field to the form","Diese Feld zum Formular hinzufügen",,site/modules/FrontendContact/FrontendContact.module,ca13db9a8af2c429a7d463972e16e8cc
none,keines,"add empty option",site/modules/FrontendContact/FrontendContact.module,334c4a4c42fdb79d7ebc3e73b517e6f8
"The ProcessWire field you have chosen for the recipient email has no value at the moment. If you want to use this field, please go to the page, where this field is included and enter an email value there.","Das ProcessWire-Feld, das Sie für die Empfänger-E-Mail gewählt haben, hat im Moment keinen Wert. Wenn Sie dieses Feld verwenden möchten, gehen Sie bitte zu der Seite, auf der dieses Feld enthalten ist, und geben Sie dort einen E-Mail-Wert ein.",,site/modules/FrontendContact/FrontendContact.module,52e5adbd55d43d7f98ae40757f632541
"Otherwise this email will be used: %s","Andernfalls wird diese E-Mail verwendet: %s",,site/modules/FrontendContact/FrontendContact.module,5183fea65cbdf202cc71922a1b399e3a
"Select and configure the fields of the contact-form","Wählen und konfigurieren Sie die Felder des Kontakt-Formulars",,site/modules/FrontendContact/FrontendContact.module,0853768675f29bc4a8d4e72d0cda51a7
"Select the fields, which should be included in the form. Only to mention: 2 fields of the form (email, message) are mandatory and therefore always present and not configurable.","Wählen Sie die Felder aus, die im Formular angezeigt werden sollen. Hinweis: 2 Felder des Formulars (E-Mail, Nachricht) sind obligatorisch und daher immer vorhanden und nicht konfigurierbar.",,site/modules/FrontendContact/FrontendContact.module,ec658a483855963167ec2c1c0920dc3c
